,year,month,day,hour,flow
52,2023,9,17,20,2.9999999999999996
53,2023,9,17,21,2.9999999999999996
54,2023,9,17,22,2.9999999999999996
55,2023,9,17,23,2.9999999999999996
56,2023,9,18,0,3.160555555555555
57,2023,9,18,1,2.9999999999999996
58,2023,9,18,2,2.9999999999999996
59,2023,9,18,3,2.9999999999999996
60,2023,9,18,4,2.9999999999999996
61,2023,9,18,5,2.9999999999999996
62,2023,9,18,6,2.9999999999999996
63,2023,9,18,7,2.9999999999999996
64,2023,9,18,8,2.9999999999999996
65,2023,9,18,9,2.9999999999999996
66,2023,9,18,10,2.9999999999999996
67,2023,9,18,11,2.9999999999999996
68,2023,9,18,12,2.9999999999999996
69,2023,9,18,13,2.9999999999999996
70,2023,9,18,14,2.9999999999999996
71,2023,9,18,15,2.9999999999999996
72,2023,9,18,16,2.9999999999999996
73,2023,9,18,17,2.9999999999999996
74,2023,9,18,18,2.9999999999999996
75,2023,9,18,19,2.9999999999999996
76,2023,9,18,20,2.9999999999999996
77,2023,9,18,21,2.9999999999999996
78,2023,9,18,22,2.9999999999999996
79,2023,9,18,23,2.9999999999999996
80,2023,9,19,0,2.9999999999999996
81,2023,9,19,1,2.9999999999999996
82,2023,9,19,2,2.9999999999999996
83,2023,9,19,3,2.9999999999999996
84,2023,9,19,4,2.9999999999999996
85,2023,9,19,5,2.9999999999999996
86,2023,9,19,6,2.9999999999999996
87,2023,9,19,7,2.9999999999999996
88,2023,9,19,8,2.9999999999999996
89,2023,9,19,9,2.9999999999999996
90,2023,9,19,10,2.9999999999999996
91,2023,9,19,11,2.9999999999999996
92,2023,9,19,12,2.9999999999999996
93,2023,9,19,13,2.9999999999999996
94,2023,9,19,14,2.9999999999999996
95,2023,9,19,15,2.9999999999999996
96,2023,9,19,16,2.9999999999999996
97,2023,9,19,17,2.9999999999999996
98,2023,9,19,18,2.9999999999999996
99,2023,9,19,19,2.9999999999999996
100,2023,9,19,20,2.9999999999999996
101,2023,9,19,21,2.9999999999999996
102,2023,9,19,22,2.9999999999999996
103,2023,9,19,23,2.9999999999999996
104,2023,9,20,0,2.9999999999999996
105,2023,9,20,1,2.9999999999999996
106,2023,9,20,2,2.9999999999999996
107,2023,9,20,3,2.9999999999999996
108,2023,9,20,4,2.9999999999999996
109,2023,9,20,5,2.9999999999999996
110,2023,9,20,6,2.9999999999999996
111,2023,9,20,7,2.9999999999999996
112,2023,9,20,8,2.9999999999999996
113,2023,9,20,9,2.9999999999999996
114,2023,9,20,10,2.9999999999999996
115,2023,9,20,11,2.9999999999999996
116,2023,9,20,12,2.9999999999999996
117,2023,9,20,13,2.9999999999999996
118,2023,9,20,14,2.9999999999999996
119,2023,9,20,15,2.9999999999999996
120,2023,9,20,16,2.9999999999999996
121,2023,9,20,17,2.9999999999999996
122,2023,9,20,18,2.9999999999999996
123,2023,9,20,19,2.9999999999999996
124,2023,9,20,20,2.9999999999999996
125,2023,9,20,21,2.9999999999999996
126,2023,9,20,22,2.9999999999999996
127,2023,9,20,23,3.3211111111111107
128,2023,9,21,0,3.4816666666666665
129,2023,9,21,1,2.9999999999999996
130,2023,9,21,2,2.9999999999999996
131,2023,9,21,3,2.9999999999999996
132,2023,9,21,4,2.9999999999999996
133,2023,9,21,5,2.9999999999999996
134,2023,9,21,6,2.9999999999999996
135,2023,9,21,7,2.9999999999999996
136,2023,9,21,8,2.9999999999999996
137,2023,9,21,9,2.9999999999999996
138,2023,9,21,10,2.9999999999999996
